gps_sow, status, numtx
392604.35, 0, 1
392604.5, 0, 1
392604.65, 0, 1
392604.8, 0, 1
392604.95, 0, 1
392605.1, 0, 1
392605.25, 0, 1
392605.4, 0, 1
392605.55, 0, 1
392605.7, 0, 1
392605.85, 0, 1
392606.0, 0, 1
392606.15, 0, 1
392606.3, 0, 1
392606.45, 0, 1
392606.6, 0, 1
392606.75, 0, 1
392606.9, 0, 1
392607.05, 0, 1
392607.2, 0, 1
392607.35, 0, 1
392607.5, 0, 1
392607.65, 0, 1
392607.8, 0, 1
392607.95, 0, 1
392608.1, 0, 1
392608.25, 0, 1
392608.4, 0, 1
392608.55, 0, 1
392608.7, 0, 1
392608.85, 0, 1
392609.0, 0, 1
392609.15, 0, 1
392609.3, 0, 1
392609.45, 0, 1
392609.6, 0, 1
392609.75, 0, 1
392609.9, 0, 1
392610.05, 0, 1
392610.2, 0, 1
392610.35, 0, 1
392610.5, 0, 1
392610.65, 0, 1
392610.8, 0, 1
392610.95, 0, 1
392611.1, 0, 1
392611.25, 0, 1
392611.4, 0, 1
392611.55, 0, 1
392611.7, 0, 1
392611.85, 0, 1
392612.0, 0, 1
392612.15, 0, 1
392612.3, 0, 1
392612.45, 0, 1
392612.6, 0, 1
392612.75, 0, 1
392612.9, 0, 1
392613.05, 0, 1
392613.2, 0, 1
392613.35, 0, 1
392613.5, 0, 1
392613.65, 0, 1
392613.8, 0, 1
392613.95, 0, 1
392614.1, 0, 1
392614.25, 0, 1
392614.4, 0, 1
392614.55, 0, 1
392614.7, 0, 1
392614.85, 0, 1
392615.0, 0, 1
392615.15, 0, 1
392615.3, 0, 1
392615.45, 0, 1
392615.6, 0, 1
392615.75, 0, 1
392615.9, 0, 1
392616.05, 0, 1
392616.2, 0, 1
392616.35, 0, 1
392616.5, 0, 1
392616.65, 0, 1
392616.8, 0, 1
392616.95, 0, 1
392617.1, 0, 1
392617.25, 0, 1
392617.4, 0, 1
392617.55, 0, 1
392617.7, 0, 1
