secs, centisecs, vread
307,30750,12
307,30788,9
308,30850,6
309,30902,2
309,30939,1
309,30976,4
310,31062,5
311,31100,5
311,31138,14
311,31175,7
312,31231,6
312,31269,4
313,31306,3
313,31350,10
313,31388,5
314,31465,13
315,31505,0
315,31566,1
316,31603,0
316,31655,11
317,31700,3
317,31738,14
317,31775,10
318,31812,0
318,31868,0
319,31905,14
319,31973,6
320,32050,0
320,32089,3
321,32134,6
321,32172,14
322,32234,0
322,32272,11
323,32309,8
323,32365,11
324,32403,9
324,32440,14
324,32477,8
325,32549,15
325,32587,0
326,32649,1
327,32761,0
328,32800,10
328,32856,14
328,32899,1
329,32937,10
329,32974,6
330,33034,12
330,33072,1
331,33133,3
331,33171,11
332,33209,0
332,33264,3
333,33302,0
333,33370,7
334,33407,0
334,33465,13
335,33503,4
335,33540,0
335,33577,8
336,33629,0
336,33667,7
337,33704,0
337,33749,0
337,33786,0
338,33830,0
338,33868,5
339,33905,6
339,33949,13
339,33986,7
340,34048,10
340,34086,12
341,34130,8
341,34168,0
342,34205,10
342,34248,13
342,34286,1
343,34330,13
343,34368,0
344,34405,6
344,34449,2
344,34487,11
345,34531,1
345,34569,5
346,34606,0
346,34648,4
346,34686,14
347,34731,0
347,34769,14
348,34806,7
348,34874,7
349,34911,4
349,34968,14
350,35078,0
351,35131,0
351,35169,6
352,35206,5
352,35262,9
353,35331,5
353,35368,13
354,35405,4
354,35471,10
355,35532,3
355,35570,0
356,35607,0
356,35662,12
357,35700,14
357,35737,4
357,35776,14
358,35851,0
358,35888,7
359,35930,4
359,35968,1
360,36005,15
360,36050,7
360,36088,12
361,36132,2
361,36170,0
362,36207,0
362,36251,14
363,36300,1
363,36352,0
363,36398,12
364,36436,11
364,36473,13
365,36531,0
365,36577,0
366,36636,0
366,36673,0
367,36729,11
367,36767,10
368,36804,8
368,36873,9
369,36932,14
369,36970,14
370,37007,2
370,37062,8
370,37099,0
371,37152,7
371,37198,12
372,37251,13
372,37296,4
373,37363,7
374,37429,0
374,37467,0
375,37531,0
375,37569,14
376,37606,9
376,37647,0
376,37685,2
377,37761,1
377,37799,2
378,37837,12
378,37874,7
379,37930,0
379,37973,5
380,38030,9
380,38068,0
381,38105,1
381,38162,1
381,38199,0
382,38236,10
382,38273,1
383,38310,0
383,38350,12
383,38396,11
384,38434,2
384,38473,4
385,38510,12
385,38553,3
385,38596,0
386,38634,0
386,38671,0
387,38728,13
387,38766,6
388,38830,0
388,38868,0
389,38905,13
389,38946,4
389,38984,0
390,39027,0
390,39065,0
391,39102,0
391,39146,0
391,39183,0
392,39229,14
392,39267,12
393,39304,13
393,39345,3
393,39383,5
394,39429,3
394,39467,0
395,39504,2
395,39545,0
395,39583,3
396,39651,11
396,39695,0
397,39733,1
397,39770,5
398,39807,3
398,39848,0
398,39886,10
399,39930,1
399,39968,13
400,40005,12
400,40046,0
400,40084,6
401,40129,5
401,40167,0
402,40204,8
402,40246,6
403,40302,0
403,40345,3
403,40383,14
404,40425,4
404,40463,3
405,40500,3
405,40537,14
405,40574,0
406,40631,13
406,40669,0
407,40746,0
407,40784,14
408,40845,0
408,40882,0
409,40961,1
409,40999,1
410,41045,0
410,41083,0
411,41131,13
411,41169,7
412,41244,5
412,41282,0
413,41360,11
413,41397,15
414,41434,6
414,41471,12
415,41544,14
415,41582,6
416,41626,4
416,41664,13
417,41701,11
417,41753,0
417,41795,8
418,41833,0
418,41870,6
419,41982,0
420,42044,13
420,42082,10
421,42161,1
421,42199,0
422,42236,0
422,42273,13
423,42329,1
423,42367,0
424,42427,2
424,42465,0
425,42502,7
425,42559,0
425,42597,0
426,42664,13
427,42702,1
427,42744,11
427,42781,9
428,42825,2
428,42863,0
429,42900,11
429,42944,0
429,42982,13
430,43024,0
430,43062,2
430,43099,0
431,43143,8
431,43181,14
432,43226,4
432,43264,6
433,43301,15
433,43344,0
433,43382,6
434,43427,9
434,43465,10
435,43502,1
435,43544,4
435,43582,0
436,43643,7
436,43693,0
437,43747,0
437,43784,0
438,43843,7
438,43881,0
439,43945,6
439,43983,13
440,44025,4
440,44063,0
441,44100,1
441,44143,0
441,44180,1
442,44249,12
442,44293,4
443,44330,9
443,44367,11
444,44424,0
444,44462,11
444,44499,0
445,44543,0
445,44581,7
446,44625,1
446,44663,0
447,44700,0
447,44743,10
447,44781,0
448,44826,0
448,44867,0
449,44904,0
449,44943,7
449,44981,0
450,45024,14
450,45062,0
450,45099,0
451,45142,1
451,45180,14
452,45223,0
452,45261,6
452,45298,7
453,45342,1
453,45380,0
454,45424,0
454,45462,0
454,45499,0
455,45542,2
455,45579,15
456,45624,3
456,45662,7
456,45699,1
457,45742,2
457,45779,1
458,45824,0
458,45862,0
458,45899,0
459,45944,0
459,45982,14
460,46026,1
460,46064,0
461,46101,2
461,46143,3
461,46181,0
462,46225,4
462,46263,14
463,46300,14
463,46341,0
463,46379,2
464,46424,0
464,46462,13
464,46499,12
465,46572,7
466,46627,0
466,46665,12
467,46725,0
467,46763,0
468,46800,2
468,46841,0
468,46879,7
469,46942,1
469,46980,0
470,47024,0
470,47062,8
470,47099,12
471,47141,0
471,47179,13
472,47256,6
472,47293,0
473,47345,15
473,47383,0
474,47442,0
474,47479,11
475,47557,2
475,47595,0
476,47662,10
477,47700,6
477,47757,13
477,47794,7
478,47846,6
478,47891,4
479,47947,0
479,47991,0
480,48029,3
480,48070,6
481,48140,1
481,48178,11
482,48240,0
482,48278,8
483,48324,6
483,48362,8
483,48399,1
484,48441,8
484,48479,14
485,48541,13
485,48579,4
486,48624,8
486,48663,0
487,48701,0
487,48757,0
488,48840,3
488,48878,2
489,48923,4
489,48961,0
489,48998,3
490,49040,2
490,49078,1
491,49140,10
491,49178,7
492,49223,1
492,49261,13
492,49298,2
493,49340,1
493,49378,0
494,49422,0
494,49461,11
494,49498,0
495,49540,10
495,49577,11
496,49622,0
496,49660,14
496,49697,0
497,49739,0
497,49777,13
498,49821,0
498,49859,15
498,49896,6
499,49941,11
499,49979,0
500,50040,0
500,50078,4
501,50123,0
501,50161,14
501,50198,4
502,50241,5
502,50278,10
503,50343,12
503,50380,0
504,50420,4
504,50458,0
504,50495,9
505,50566,7
506,50622,9
506,50660,7
506,50697,0
507,50739,0
507,50777,3
508,50840,0
508,50877,14
509,50941,2
509,50978,11
510,51040,15
510,51077,1
511,51188,0
512,51239,0
512,51276,0
513,51340,0
513,51389,6
514,51444,0
514,51489,10
515,51542,12
516,51600,7
516,51656,0
516,51693,6
517,51745,5
517,51788,0
518,51826,0
518,51863,5
519,51922,0
519,51960,8
519,51997,0
520,52038,1
520,52076,7
521,52157,2
521,52195,5
522,52253,11
522,52291,8
523,52359,0
524,52421,12
524,52459,10
524,52496,6
525,52553,13
525,52590,10
526,52627,0
526,52664,4
527,52720,9
527,52758,12
527,52795,1
528,52838,6
528,52875,0
529,52921,0
529,52958,0
529,52995,0
530,53052,13
530,53090,9
531,53137,12
531,53175,11
532,53237,0
532,53275,8
533,53337,4
533,53375,8
534,53437,12
534,53475,13
535,53544,12
535,53591,1
536,53658,12
536,53696,6
537,53738,0
537,53776,0
538,53852,0
538,53890,6
539,53945,4
540,54022,0
540,54061,11
540,54098,12
541,54139,0
541,54177,2
542,54237,0
542,54274,14
543,54352,0
543,54389,0
544,54426,6
544,54463,5
545,54520,14
545,54558,2
545,54595,11
546,54649,4
546,54687,7
547,54741,14
547,54790,12
548,54842,0
548,54887,0
549,54924,0
549,54963,14
550,55019,2
550,55057,0
550,55094,14
551,55146,0
552,55223,14
552,55261,13
553,55338,10
553,55386,13
554,55442,5
554,55486,11
555,55538,0
555,55587,9
556,55641,9
556,55687,4
557,55798,1
558,55853,3
558,55891,5
559,55936,10
559,55974,0
560,56036,0
560,56073,2
561,56119,7
561,56164,14
562,56222,0
562,56260,0
562,56297,8
563,56337,1
563,56375,14
564,56420,7
564,56458,13
565,56534,5
565,56572,0
566,56647,0
566,56685,5
567,56723,3
567,56761,6
568,56818,8
568,56856,4
568,56893,4
569,56935,2
569,56973,9
570,57016,12
570,57054,11
570,57091,0
571,57143,2
571,57186,0
572,57253,0
573,57332,0
573,57369,12
574,57435,3
574,57493,11
575,57550,0
575,57588,6
576,57640,1
576,57686,12
577,57723,13
577,57761,2
578,57815,0
578,57853,0
578,57890,7
579,57950,7
579,57987,5
580,58024,0
580,58061,0
581,58135,2
581,58173,0
582,58236,1
582,58274,0
583,58351,0
583,58393,7
584,58434,15
584,58472,9
585,58519,13
585,58566,0
586,58615,0
586,58653,7
586,58690,0
587,58727,0
587,58764,1
588,58834,2
588,58872,1
589,58916,6
589,58955,12
589,58992,2
590,59049,3
590,59087,14
591,59139,0
591,59185,2
592,59237,0
592,59274,9
593,59338,13
593,59384,14
594,59441,5
594,59485,0
595,59537,0
595,59575,0
596,59653,0
596,59690,7
597,59735,14
597,59772,0
598,59818,13
598,59856,0
598,59893,12
599,59960,7
600,60021,15
600,60058,5
601,60117,0
601,60154,3
601,60192,6
602,60234,13
602,60272,8
603,60384,14
604,60459,14
605,60517,3
605,60555,0
605,60592,0
606,60633,7
606,60671,2
607,60736,6
607,60783,14
608,60821,12
608,60859,10
609,60916,0
609,60962,0
610,61021,2
610,61059,13
611,61118,6
611,61156,10
611,61193,3
612,61233,12
612,61271,0
613,61316,2
613,61354,0
613,61392,2
614,61433,15
614,61470,10
615,61515,2
615,61553,13
615,61590,1
616,61633,8
616,61683,14
617,61721,5
617,61758,0
618,61815,3
618,61852,0
618,61889,9
619,61933,5
619,61971,5
620,62015,0
620,62053,0
620,62090,0
621,62132,0
621,62170,0
622,62215,6
622,62253,12
622,62290,6
623,62333,7
623,62371,0
624,62415,1
624,62453,0
624,62490,0
625,62537,0
625,62582,15
626,62620,5
626,62664,6
627,62714,11
627,62752,10
627,62789,3
628,62832,0
628,62870,6
629,62916,0
629,62954,0
630,63013,8
630,63051,7
630,63088,11
631,63132,2
631,63170,0
632,63214,15
632,63252,1
632,63289,0
633,63337,3
633,63382,13
634,63420,0
634,63457,0
635,63514,5
635,63552,0
635,63589,1
636,63632,13
636,63670,7
637,63715,8
637,63753,8
637,63790,2
638,63831,7
638,63869,0
639,63915,0
639,63953,10
639,63990,13
640,64032,11
640,64070,12
641,64114,11
641,64152,3
641,64189,5
642,64231,9
642,64269,5
643,64331,3
643,64369,7
644,64413,0
644,64451,9
644,64488,0
645,64531,11
645,64581,5
646,64634,0
646,64672,8
647,64715,10
647,64753,12
647,64790,6
648,64832,0
648,64870,0
649,64915,1
649,64968,0
650,65016,13
650,65054,0
651,65113,4
651,65151,7
651,65188,3
652,65231,8
652,65269,10
653,65314,0
653,65352,0
653,65389,14
654,65431,0
654,65468,0
655,65513,0
655,65551,3
655,65589,9
656,65630,3
656,65668,0
657,65731,1
657,65769,7
658,65813,8
658,65852,0
658,65890,0
659,65930,0
659,65968,7
660,66012,9
660,66050,10
660,66087,0
661,66131,0
661,66168,2
662,66214,0
662,66252,0
662,66289,6
663,66330,5
663,66368,14
664,66414,13
664,66452,0
664,66489,4
665,66530,2
665,66568,0
666,66613,3
666,66651,9
667,66713,4
667,66751,1
667,66788,4
668,66830,0
668,66867,0
669,66913,8
669,66951,1
669,66988,0
670,67031,4
670,67068,6
671,67114,11
671,67152,0
671,67189,14
672,67231,0
672,67268,9
675,67529,8
675,67566,6
676,67611,0
676,67649,14
676,67686,5
677,67730,1
677,67768,0
678,67812,4
678,67850,9
678,67887,4
679,67930,3
679,67967,1
680,68009,12
680,68047,7
680,68084,0
681,68121,4
681,68159,0
682,68210,0
682,68248,5
682,68285,0
683,68329,3
683,68367,0
684,68411,8
684,68449,11
684,68486,12
685,68531,2
685,68579,11
686,68616,6
686,68653,9
687,68710,5
687,68748,10
687,68785,14
688,68828,13
688,68866,11
689,68912,0
689,68950,14
689,68987,14
690,69029,3
690,69067,7
691,69112,3
691,69150,14
691,69187,0
692,69228,5
692,69266,0
693,69312,11
693,69350,14
693,69387,1
694,69428,8
694,69466,0
695,69512,7
695,69550,9
696,69609,12
696,69662,14
697,69713,1
697,69751,0
697,69788,0
698,69828,5
698,69866,10
699,69911,8
699,69949,5
699,69986,3
700,70028,6
700,70065,14
701,70111,3
701,70149,0
701,70186,0
702,70228,14
702,70265,15
703,70310,13
703,70348,5
703,70385,6
704,70429,12
704,70467,14
705,70512,0
705,70550,2
705,70587,1
706,70627,2
706,70665,3
707,70710,5
707,70748,9
707,70785,3
708,70827,10
708,70865,0
709,70911,0
709,70949,0
709,70986,0
710,71027,10
710,71065,0
711,71110,2
711,71148,0
711,71185,0
712,71227,13
712,71265,13
713,71311,0
713,71349,13
713,71386,7
714,71427,15
714,71465,0
715,71509,12
715,71547,9
715,71584,12
716,71627,11
716,71665,0
717,71712,0
717,71750,11
718,71808,12
718,71852,3
719,71908,10
719,71946,13
719,71983,0
720,72027,9
720,72065,3
721,72111,8
721,72149,2
721,72186,6
722,72226,0
722,72265,11
723,72311,4
723,72349,9
723,72386,6
724,72427,0
724,72465,2
725,72510,6
725,72548,5
725,72585,0
726,72627,9
726,72665,4
727,72709,11
727,72748,12
727,72785,14
728,72828,0
728,72865,14
729,72910,9
729,72948,10
729,72985,9
730,73026,6
730,73064,4
731,73109,3
731,73147,9
731,73184,4
732,73228,9
732,73266,7
733,73308,3
733,73346,14
733,73383,0
734,73426,6
734,73464,10
735,73509,4
735,73547,1
735,73584,2
736,73626,3
736,73664,14
737,73709,2
737,73747,0
737,73784,4
738,73826,3
738,73863,0
739,73909,0
739,73947,7
739,73984,2
740,74048,0
741,74108,4
741,74146,2
741,74184,0
742,74225,9
742,74263,0
743,74307,2
743,74346,3
743,74383,9
744,74425,5
744,74463,2
745,74509,3
745,74547,0
746,74605,14
746,74643,0
746,74680,3
747,74717,13
747,74754,0
748,74806,0
748,74844,5
748,74881,0
749,74926,5
749,74963,13
750,75005,2
750,75043,7
750,75080,8
751,75117,0
751,75154,5
752,75206,0
752,75244,0
752,75281,13
753,75325,14
753,75362,6
754,75406,13
754,75444,12
754,75481,7
755,75525,1
755,75562,12
756,75607,0
756,75645,13
756,75682,6
757,75725,0
757,75763,11
758,75809,8
758,75847,14
758,75885,9
759,75925,11
759,75962,10
760,76005,12
760,76043,15
760,76080,8
761,76125,9
761,76162,0
762,76207,9
762,76245,14
762,76282,1
763,76348,2
764,76404,5
764,76442,14
764,76479,10
765,76516,15
765,76553,13
766,76604,13
766,76642,8
766,76679,2
767,76724,2
767,76762,14
768,76807,6
768,76845,8
768,76882,0
769,76924,10
769,76962,0
770,77004,2
770,77042,11
770,77079,4
771,77124,0
771,77161,4
772,77207,0
772,77245,0
772,77282,12
773,77324,0
773,77361,3
774,77406,0
774,77445,0
774,77483,10
775,77523,5
775,77561,14
776,77606,7
776,77644,0
776,77681,9
777,77723,0
777,77761,14
778,77806,1
778,77844,4
778,77881,3
779,77923,1
779,77961,13
780,78004,11
780,78042,14
780,78079,9
781,78123,5
781,78161,8
782,78205,6
782,78243,10
782,78280,5
783,78323,2
783,78361,8
784,78406,4
784,78444,12
784,78481,9
785,78547,3
786,78603,0
786,78641,1
786,78679,5
787,78724,3
787,78761,5
788,78805,0
788,78843,0
788,78880,0
789,78923,2
789,78960,11
790,79007,9
790,79046,6
791,79104,15
791,79142,9
791,79179,7
792,79223,6
792,79260,4
793,79306,7
793,79344,11
793,79382,6
794,79422,9
794,79460,13
795,79505,0
795,79543,11
795,79580,7
796,79622,12
796,79660,8
797,79706,15
797,79744,15
797,79781,7
798,79822,5
798,79860,12
799,79905,4
799,79943,15
799,79980,2
800,80022,10
800,80060,0
801,80105,12
801,80143,12
801,80180,0
802,80222,11
802,80260,13
803,80306,13
803,80344,13
803,80381,3
804,80422,6
804,80459,13
805,80507,8
805,80544,12
805,80582,0
806,80622,15
806,80660,1
807,80705,0
807,80743,9
808,80822,12
808,80859,3
809,80904,0
809,80942,15
809,80979,7
810,81021,1
810,81059,0
811,81104,10
811,81142,9
811,81179,5
812,81222,3
812,81260,0
813,81305,11
813,81343,0
813,81380,0
814,81421,4
814,81459,4
815,81505,0
815,81543,0
815,81580,13
816,81621,3
816,81659,6
817,81703,2
817,81741,0
817,81778,0
818,81822,0
818,81859,11
819,81904,13
819,81942,4
819,81979,3
820,82021,0
820,82059,4
821,82104,0
821,82142,11
821,82181,0
822,82222,2
822,82260,0
823,82304,12
823,82342,0
823,82379,2
824,82421,13
824,82458,15
825,82503,12
825,82542,9
825,82580,2
826,82621,12
826,82658,0
827,82704,3
827,82742,1
827,82779,12
828,82822,8
828,82860,2
829,82904,0
829,82942,0
829,82979,11
830,83044,0
830,83082,0
831,83122,12
831,83160,15
832,83204,12
832,83242,0
832,83279,8
833,83320,2
833,83358,15
834,83404,13
834,83442,12
834,83479,7
835,83520,0
835,83558,0
836,83602,13
836,83640,10
836,83677,14
837,83720,0
837,83758,0
838,83804,4
838,83842,10
838,83879,0
839,83920,11
839,83957,8
840,84004,9
840,84042,0
840,84079,0
841,84120,0
841,84158,14
842,84203,0
842,84241,4
842,84278,12
843,84320,7
843,84357,11
844,84403,0
844,84441,0
844,84478,4
845,84519,3
845,84557,0
846,84603,7
846,84642,0
846,84679,11
847,84720,0
847,84758,14
848,84802,4
848,84840,11
848,84877,13
849,84919,0
849,84957,2
849,84999,13
850,85037,11
850,85074,6
851,85111,0
851,85148,14
852,85201,11
852,85239,0
852,85276,9
853,85353,1
854,85404,0
854,85441,10
854,85478,1
855,85519,15
855,85557,6
856,85601,5
856,85639,0
856,85676,0
857,85719,11
857,85757,0
858,85801,0
858,85839,0
858,85876,6
859,85969,6
860,86018,11
860,86057,0
861,86101,0
861,86139,13
861,86176,6
862,86218,8
862,86256,0
863,86300,6
863,86338,10
863,86375,7
864,86418,0
864,86456,0
865,86501,11
865,86539,10
865,86576,7
866,86618,11
866,86656,0
867,86702,3
867,86740,13
867,86777,3
868,86818,13
868,86856,8
869,86900,0
869,86938,0
869,86976,1
870,87018,0
870,87056,15
871,87100,0
871,87138,5
871,87175,4
872,87218,8
872,87256,0
873,87301,5
873,87340,8
873,87377,0
874,87418,9
874,87455,14
875,87500,1
875,87538,1
875,87575,6
876,87644,1
876,87699,2
877,87737,0
877,87774,6
878,87817,5
878,87855,13
879,87900,8
879,87938,11
879,87975,0
880,88017,1
880,88055,0
881,88101,11
881,88139,7
881,88176,13
882,88217,12
882,88255,0
883,88300,3
883,88338,5
883,88375,11
