gps_sow, latitude, longitude, height
391587.5,  51.711981647,  -0.210172400,  140.7454
391588.0,  51.711981662,  -0.210172403,  140.7232
391588.5,  51.711981686,  -0.210172412,  140.7134
391589.0,  51.711981719,  -0.210172382,  140.7121
391589.5,  51.711981729,  -0.210172380,  140.6990
391590.0,  51.711981721,  -0.210172362,  140.6946
391590.5,  51.711981731,  -0.210172320,  140.6717
391591.0,  51.711981732,  -0.210172382,  140.6765
391591.5,  51.711981739,  -0.210172366,  140.6660
391592.0,  51.711981723,  -0.210172273,  140.6669
391592.5,  51.711981788,  -0.210172207,  140.6555
391593.0,  51.711981798,  -0.210172151,  140.6606
391593.5,  51.711981787,  -0.210172142,  140.6402
391594.0,  51.711981764,  -0.210172065,  140.6158
391594.5,  51.711981814,  -0.210172013,  140.6192
391595.0,  51.711981906,  -0.210171924,  140.5989
391595.5,  51.711981945,  -0.210171868,  140.5775
391596.0,  51.711982018,  -0.210171860,  140.5570
391596.5,  51.711982021,  -0.210171860,  140.5361
391597.0,  51.711982003,  -0.210171938,  140.5122
391597.5,  51.711982107,  -0.210171909,  140.4959
391598.0,  51.711982172,  -0.210171984,  140.4693
391598.5,  51.711982176,  -0.210172049,  140.4521
391599.0,  51.711982188,  -0.210172077,  140.4354
391599.5,  51.711982178,  -0.210172086,  140.4157
391600.0,  51.711982166,  -0.210172099,  140.4003
391600.5,  51.711982203,  -0.210172167,  140.3894
391601.0,  51.711982202,  -0.210172170,  140.3773
391601.5,  51.711982107,  -0.210172214,  140.3707
391602.0,  51.711982098,  -0.210172322,  140.3587
391602.5,  51.711982084,  -0.210172453,  140.3424
391603.0,  51.711982013,  -0.210172638,  140.3225
391603.5,  51.711981917,  -0.210172806,  140.3125
391604.0,  51.711981910,  -0.210172982,  140.3143
391604.5,  51.711981926,  -0.210173057,  140.2933
391605.0,  51.711981829,  -0.210173111,  140.2828
391605.5,  51.711981742,  -0.210173273,  140.2798
391606.0,  51.711981719,  -0.210173404,  140.2808
391606.5,  51.711981699,  -0.210173500,  140.2566
391607.0,  51.711981691,  -0.210173626,  140.2441
391607.5,  51.711981718,  -0.210173655,  140.2456
391608.0,  51.711981683,  -0.210173626,  140.2228
391608.5,  51.711981693,  -0.210173552,  140.2284
391609.0,  51.711981703,  -0.210173678,  140.1985
391609.5,  51.711981683,  -0.210173731,  140.1732
391610.0,  51.711981703,  -0.210173778,  140.1584
391610.5,  51.711981634,  -0.210173808,  140.1467
391611.0,  51.711981580,  -0.210173938,  140.1353
391611.5,  51.711981583,  -0.210173982,  140.1210
391612.0,  51.711981550,  -0.210174036,  140.1107
391612.5,  51.711981483,  -0.210174073,  140.0941
391613.0,  51.711981479,  -0.210174150,  140.0838
391613.5,  51.711981423,  -0.210174253,  140.0737
391614.0,  51.711981480,  -0.210174220,  140.0576
391614.5,  51.711981456,  -0.210174265,  140.0519
391615.0,  51.711981505,  -0.210174341,  140.0274
391615.5,  51.711981505,  -0.210174306,  140.0359
391616.0,  51.711981482,  -0.210174316,  140.0137
391616.5,  51.711981509,  -0.210174265,  139.9984
391617.0,  51.711981520,  -0.210174307,  139.9964
391617.5,  51.711981486,  -0.210174301,  139.9931
391618.0,  51.711981485,  -0.210174299,  139.9721
391618.5,  51.711981505,  -0.210174268,  139.9687
391619.0,  51.711981496,  -0.210174322,  139.9662
391619.5,  51.711981486,  -0.210174351,  139.9615
391620.0,  51.711981512,  -0.210174347,  139.9428
391620.5,  51.711981502,  -0.210174353,  139.9489
391621.0,  51.711981433,  -0.210174448,  139.9391
391621.5,  51.711981435,  -0.210174496,  139.9519
391622.0,  51.711981422,  -0.210174488,  139.9430
391622.5,  51.711981427,  -0.210174501,  139.9433
391623.0,  51.711981387,  -0.210174554,  139.9355
391623.5,  51.711981381,  -0.210174599,  139.9270
391624.0,  51.711981413,  -0.210174572,  139.9342
391624.5,  51.711981363,  -0.210174619,  139.9202
391625.0,  51.711981412,  -0.210174574,  139.9101
391625.5,  51.711981391,  -0.210174670,  139.9068
391626.0,  51.711981350,  -0.210174753,  139.9005
391626.5,  51.711981336,  -0.210174809,  139.9059
391627.0,  51.711981306,  -0.210174867,  139.9029
391627.5,  51.711981319,  -0.210174929,  139.9078
391628.0,  51.711981360,  -0.210174969,  139.8930
391628.5,  51.711981321,  -0.210174954,  139.8856
391629.0,  51.711981354,  -0.210174985,  139.8851
391629.5,  51.711981355,  -0.210175024,  139.8745
391630.0,  51.711981323,  -0.210175084,  139.8588
391630.5,  51.711981351,  -0.210175089,  139.8651
391631.0,  51.711981311,  -0.210175126,  139.8745
391631.5,  51.711981273,  -0.210175165,  139.8742
391632.0,  51.711981247,  -0.210175206,  139.8633
391632.5,  51.711981175,  -0.210175245,  139.8571
391633.0,  51.711981189,  -0.210175285,  139.8567
391633.5,  51.711981144,  -0.210175307,  139.8566
391634.0,  51.711981046,  -0.210175383,  139.8619
391634.5,  51.711981011,  -0.210175393,  139.8626
391635.0,  51.711980956,  -0.210175438,  139.8629
391635.5,  51.711980930,  -0.210175451,  139.8644
391636.0,  51.711980867,  -0.210175443,  139.8703
391636.5,  51.711980863,  -0.210175477,  139.8689
391637.0,  51.711980854,  -0.210175489,  139.8649
391637.5,  51.711980784,  -0.210175504,  139.8712
391638.0,  51.711980779,  -0.210175460,  139.8629
391638.5,  51.711980774,  -0.210175489,  139.8539
391639.0,  51.711980765,  -0.210175430,  139.8585
391639.5,  51.711980767,  -0.210175461,  139.8640
391640.0,  51.711980738,  -0.210175475,  139.8629
391640.5,  51.711980695,  -0.210175459,  139.8715
391641.0,  51.711980706,  -0.210175494,  139.8528
391641.5,  51.711980719,  -0.210175465,  139.8410
391642.0,  51.711980728,  -0.210175466,  139.8380
391642.5,  51.711980721,  -0.210175444,  139.8307
391643.0,  51.711980700,  -0.210175456,  139.8218
391643.5,  51.711980716,  -0.210175487,  139.8182
391644.0,  51.711980707,  -0.210175532,  139.8106
391644.5,  51.711980738,  -0.210175455,  139.8080
391645.0,  51.711980739,  -0.210175459,  139.7980
391645.5,  51.711980708,  -0.210175506,  139.7936
391646.0,  51.711980728,  -0.210175550,  139.7878
391646.5,  51.711980682,  -0.210175564,  139.7782
391647.0,  51.711980713,  -0.210175584,  139.7643
391647.5,  51.711980754,  -0.210175629,  139.7546
391648.0,  51.711980799,  -0.210175588,  139.7450
391648.5,  51.711980937,  -0.210173036,  139.5179
391649.0,  51.711980954,  -0.210173029,  139.5177
391649.5,  51.711980949,  -0.210173025,  139.5179
391650.0,  51.711980943,  -0.210172986,  139.5242
391650.5,  51.711980940,  -0.210173004,  139.5145
391651.0,  51.711980961,  -0.210173007,  139.5207
391651.5,  51.711980959,  -0.210173004,  139.5234
391652.0,  51.711980965,  -0.210173009,  139.5229
391652.5,  51.711980969,  -0.210173005,  139.5210
391653.0,  51.711980963,  -0.210173017,  139.5187
391653.5,  51.711980975,  -0.210172982,  139.5148
391654.0,  51.711981001,  -0.210172981,  139.5196
391654.5,  51.711980993,  -0.210172984,  139.5185
391655.0,  51.711980998,  -0.210172979,  139.5180
391655.5,  51.711981002,  -0.210172996,  139.5248
391656.0,  51.711980977,  -0.210172978,  139.5193
391656.5,  51.711980980,  -0.210173002,  139.5228
391657.0,  51.711980970,  -0.210172981,  139.5241
391657.5,  51.711980982,  -0.210172989,  139.5234
391658.0,  51.711980962,  -0.210172963,  139.5200
391658.5,  51.711980985,  -0.210172981,  139.5240
391659.0,  51.711980970,  -0.210173006,  139.5205
391659.5,  51.711980963,  -0.210172974,  139.5165
391660.0,  51.711980974,  -0.210172975,  139.5184
391660.5,  51.711980978,  -0.210172986,  139.5255
391661.0,  51.711980995,  -0.210172987,  139.5185
391661.5,  51.711980956,  -0.210172914,  139.5042
391662.0,  51.711980957,  -0.210172931,  139.5074
391662.5,  51.711980962,  -0.210172978,  139.5279
391663.0,  51.711980964,  -0.210172974,  139.5125
391663.5,  51.711980967,  -0.210172965,  139.5245
391664.0,  51.711980933,  -0.210172944,  139.5086
391664.5,  51.711980947,  -0.210172971,  139.5133
391665.0,  51.711980933,  -0.210172977,  139.5131
391665.5,  51.711980959,  -0.210172960,  139.5175
391666.0,  51.711980955,  -0.210172961,  139.5155
391666.5,  51.711980949,  -0.210172979,  139.5085
391667.0,  51.711980969,  -0.210172978,  139.5181
391667.5,  51.711980966,  -0.210172958,  139.5115
391668.0,  51.711980959,  -0.210172951,  139.5078
391668.5,  51.711980191,  -0.210175735,  139.6306
391669.0,  51.711980180,  -0.210175773,  139.6370
391669.5,  51.711980163,  -0.210175799,  139.6346
391670.0,  51.711980145,  -0.210175792,  139.6247
391670.5,  51.711980120,  -0.210175811,  139.6248
391671.0,  51.711980118,  -0.210175817,  139.6289
391671.5,  51.711980086,  -0.210175812,  139.6285
391672.0,  51.711980021,  -0.210175866,  139.6310
391672.5,  51.711979973,  -0.210175921,  139.6350
391673.0,  51.711979953,  -0.210175894,  139.6356
391673.5,  51.711979943,  -0.210175889,  139.6415
391674.0,  51.711979906,  -0.210175909,  139.6336
391674.5,  51.711979824,  -0.210175905,  139.6406
391675.0,  51.711979768,  -0.210175938,  139.6350
391675.5,  51.711979739,  -0.210175978,  139.6451
391676.0,  51.711979695,  -0.210175993,  139.6419
391676.5,  51.711979669,  -0.210175968,  139.6426
391677.0,  51.711979669,  -0.210175985,  139.6399
391677.5,  51.711979675,  -0.210176039,  139.6342
391678.0,  51.711979652,  -0.210176028,  139.6380
391678.5,  51.711979640,  -0.210176022,  139.6299
391679.0,  51.711979654,  -0.210176000,  139.6319
391679.5,  51.711979607,  -0.210175997,  139.6262
391680.0,  51.711979569,  -0.210175949,  139.6273
391680.5,  51.711979536,  -0.210175970,  139.6280
391681.0,  51.711979536,  -0.210175938,  139.6339
391681.5,  51.711979520,  -0.210175941,  139.6339
391682.0,  51.711979497,  -0.210175912,  139.6273
391682.5,  51.711979458,  -0.210175899,  139.6245
391683.0,  51.711979479,  -0.210175818,  139.6207
391683.5,  51.711979437,  -0.210175857,  139.6265
391684.0,  51.711979422,  -0.210175869,  139.6243
391684.5,  51.711979410,  -0.210175801,  139.6242
391685.0,  51.711979415,  -0.210175775,  139.6121
391685.5,  51.711979478,  -0.210175786,  139.6076
391686.0,  51.711979467,  -0.210175787,  139.6137
391686.5,  51.711979468,  -0.210175763,  139.6166
391687.0,  51.711979446,  -0.210175805,  139.6120
391687.5,  51.711979484,  -0.210175782,  139.6024
391688.0,  51.711979491,  -0.210175772,  139.6010
391688.5,  51.711979473,  -0.210175828,  139.5936
391689.0,  51.711979475,  -0.210175807,  139.5937
391689.5,  51.711979445,  -0.210175814,  139.5969
391690.0,  51.711979437,  -0.210175846,  139.5906
391690.5,  51.711979421,  -0.210175822,  139.5868
391691.0,  51.711979382,  -0.210175887,  139.5810
391691.5,  51.711979329,  -0.210175953,  139.5906
391692.0,  51.711979353,  -0.210175949,  139.5899
391692.5,  51.711979333,  -0.210176003,  139.5848
391693.0,  51.711979301,  -0.210176035,  139.5838
391693.5,  51.711979293,  -0.210176071,  139.5827
391694.0,  51.711979259,  -0.210176179,  139.5791
391694.5,  51.711979277,  -0.210176225,  139.5788
391695.0,  51.711979258,  -0.210176335,  139.5700
391695.5,  51.711979272,  -0.210176448,  139.5726
391696.0,  51.711979267,  -0.210176512,  139.5757
391696.5,  51.711979261,  -0.210176633,  139.5766
391697.0,  51.711979236,  -0.210176677,  139.5769
391697.5,  51.711979185,  -0.210176733,  139.5855
391698.0,  51.711979136,  -0.210176828,  139.5815
391698.5,  51.711979076,  -0.210176890,  139.5792
391699.0,  51.711979046,  -0.210176964,  139.5869
391699.5,  51.711979032,  -0.210177020,  139.5873
391700.0,  51.711978990,  -0.210177111,  139.5983
391700.5,  51.711978951,  -0.210177104,  139.6006
391701.0,  51.711978900,  -0.210177170,  139.6026
391701.5,  51.711978891,  -0.210177212,  139.6026
391702.0,  51.711978846,  -0.210177266,  139.5952
391702.5,  51.711978816,  -0.210177309,  139.5992
391703.0,  51.711978829,  -0.210177283,  139.6028
391703.5,  51.711978821,  -0.210177300,  139.6030
391704.0,  51.711978793,  -0.210177301,  139.6050
391704.5,  51.711978868,  -0.210177220,  139.5958
391705.0,  51.711978838,  -0.210177158,  139.5991
391705.5,  51.711978872,  -0.210177071,  139.5980
391706.0,  51.711978889,  -0.210177016,  139.5965
391706.5,  51.711978899,  -0.210176985,  139.5926
391707.0,  51.711978879,  -0.210176989,  139.5974
391707.5,  51.711978896,  -0.210176963,  139.5864
391708.0,  51.711978870,  -0.210176969,  139.5833
391708.5,  51.711978870,  -0.210176914,  139.5826
391709.0,  51.711978862,  -0.210176904,  139.5862
391709.5,  51.711978840,  -0.210176859,  139.5793
391710.0,  51.711978824,  -0.210176800,  139.5806
391710.5,  51.711978857,  -0.210176772,  139.5811
391711.0,  51.711978846,  -0.210176708,  139.5784
391711.5,  51.711978871,  -0.210176660,  139.5696
391712.0,  51.711978873,  -0.210176666,  139.5716
391712.5,  51.711978886,  -0.210176624,  139.5713
391713.0,  51.711978874,  -0.210176546,  139.5682
391713.5,  51.711978895,  -0.210176506,  139.5633
391714.0,  51.711978907,  -0.210176491,  139.5549
391714.5,  51.711978910,  -0.210176456,  139.5586
391715.0,  51.711978936,  -0.210176434,  139.5583
391715.5,  51.711978923,  -0.210176440,  139.5541
