gps_sow,  rssi, ber
392232.1200,  -75, 0.0
392232.3800,  -74, 0.0
392232.5400,  -76, 0.0
392232.6100,  -78, 0.0
392232.8300,  -77, 0.0
392233.1800,  -78, 0.0
392233.3400,  -77, 0.0
392233.5100,  -77, 0.0
392233.7600,  -71, 0.0
392233.7700,  -75, 0.0
392234.0100,  -73, 0.0
392234.2900,  -76, 0.0
392234.3000,  -74, 0.0
392234.5300,  -78, 0.0
392234.7600,  -73, 0.0
392235.0700,  -73, 0.0
392235.3100,  -73, 0.0
392235.5100,  -69, 0.0
392235.7600,  -72, 0.0
392236.0200,  -73, 0.0
392236.0300,  -71, 0.0
392236.0400,  -72, 0.0
392236.2600,  -74, 0.0
392236.5600,  -78, 0.0
392236.8200,  -79, 0.0
392237.1200,  -74, 0.0
392237.6700,  -70, 0.0
392238.1400,  -72, 0.0
392238.1600,  -71, 0.0
392238.1700,  -71, 0.0
392238.2900,  -71, 0.0
392238.4700,  -72, 0.0
392238.5800,  -71, 0.0
392238.7700,  -69, 0.0
392239.1200,  -73, 0.0
392239.4500,  -73, 0.0
392239.5200,  -74, 0.0
392239.7900,  -73, 0.0
392239.8100,  -76, 0.0
392240.0300,  -76, 0.0
392240.3000,  -75, 0.0
392240.5300,  -74, 0.0
392240.8100,  -74, 0.0
392241.0200,  -73, 0.0
392241.2800,  -73, 0.0
392241.2900,  -73, 0.0
392241.7100,  -75, 0.0
392241.7800,  -73, 0.0
392242.0300,  -74, 0.0
392242.2800,  -71, 0.0
392242.5300,  -75, 0.0
392242.5400,  -74, 0.0
392243.1700,  -80, 0.0
392243.3500,  -77, 0.0
392243.5300,  -80, 0.0
392243.5400,  -80, 0.0
392243.5600,  -80, 0.0
392243.7800,  -80, 0.0
392244.0300,  -75, 0.0
392244.2800,  -74, 0.0
392244.5300,  -77, 0.0
392244.7900,  -76, 0.0
392244.8100,  -76, 0.0
392245.0300,  -74, 0.0
392245.2800,  -74, 0.0
392245.5400,  -73, 0.0
392245.7900,  -74, 0.0
392245.7910,  -73, 0.0
392246.2900,  -75, 0.0
392246.5400,  -73, 0.0
392246.7900,  -77, 0.0
392247.0400,  -73, 0.0
392247.3000,  -80, 0.0
392247.3100,  -77, 0.0
392247.5400,  -74, 0.0
392247.5600,  -74, 0.0
392247.7900,  -73, 0.0
392247.8000,  -72, 0.0
392247.8100,  -72, 0.0
392248.0500,  -74, 0.0
392248.0900,  -78, 0.0
392248.2900,  -75, 0.0
392248.5500,  -72, 0.0
392248.8000,  -70, 0.0
392249.0500,  -70, 0.0
392249.3000,  -72, 0.0
392249.5500,  -71, 0.0
392249.8500,  -71, 0.0
392250.0500,  -72, 0.0
392250.3000,  -72, 0.0
392250.3100,  -72, 0.0
392250.3200,  -72, 0.0
392250.5500,  -72, 0.0
392250.8000,  -73, 0.0
392251.1300,  -79, 0.0
392251.3000,  -75, 0.0
392251.5600,  -71, 0.0
392251.8300,  -70, 0.0
392252.0600,  -72, 0.0
392252.3200,  -69, 0.0
392252.5500,  -69, 0.0
392252.8100,  -72, 0.0
392253.0600,  -73, 0.0
392253.3100,  -75, 0.0
392253.5700,  -72, 0.0
392253.8400,  -73, 0.0
392254.0600,  -70, 0.0
392254.3100,  -71, 0.0
392254.5900,  -73, 0.0
