gps_sow, latitude, longitude, height
405922.5,  51.711956065,  -0.210237404,  141.1879
405923.0,  51.711956211,  -0.210237529,  141.1729
405923.5,  51.711956291,  -0.210237729,  141.1852
405924.0,  51.711956275,  -0.210237797,  141.1382
405924.5,  51.711956262,  -0.210238202,  141.2093
405925.0,  51.711956301,  -0.210238334,  141.2025
405925.5,  51.711956208,  -0.210238547,  141.1909
405926.0,  51.711956261,  -0.210238660,  141.1891
405926.5,  51.711956215,  -0.210238826,  141.1954
405927.0,  51.711956207,  -0.210239032,  141.1945
405927.5,  51.711956196,  -0.210239211,  141.1994
405928.0,  51.711956193,  -0.210239454,  141.2056
405928.5,  51.711955974,  -0.210239702,  141.2259
405929.0,  51.711955779,  -0.210239964,  141.2501
405929.5,  51.711955637,  -0.210240319,  141.2662
405930.0,  51.711955582,  -0.210240586,  141.2639
405930.5,  51.711955431,  -0.210240775,  141.2480
405931.0,  51.711955291,  -0.210240999,  141.2543
405931.5,  51.711955119,  -0.210241336,  141.2790
405932.0,  51.711955001,  -0.210241545,  141.2792
405932.5,  51.711954844,  -0.210241618,  141.2876
405933.0,  51.711954684,  -0.210241675,  141.3033
405933.5,  51.711954491,  -0.210241904,  141.3422
405934.0,  51.711954285,  -0.210242162,  141.3781
405934.5,  51.711954231,  -0.210242269,  141.3900
405935.0,  51.711954190,  -0.210242283,  141.3998
405935.5,  51.711954184,  -0.210242291,  141.3864
405936.0,  51.711954162,  -0.210242463,  141.4107
405936.5,  51.711954165,  -0.210242586,  141.4192
405937.0,  51.711954124,  -0.210242767,  141.4485
405937.5,  51.711954100,  -0.210242838,  141.4615
405938.0,  51.711954102,  -0.210242879,  141.4777
405938.5,  51.711954107,  -0.210242898,  141.4742
405939.0,  51.711954084,  -0.210242956,  141.4762
405939.5,  51.711954160,  -0.210242937,  141.5007
405940.0,  51.711954096,  -0.210242964,  141.5221
405940.5,  51.711954049,  -0.210243073,  141.5367
405941.0,  51.711954099,  -0.210243037,  141.5417
405941.5,  51.711954110,  -0.210243016,  141.5495
405942.0,  51.711954076,  -0.210243075,  141.5683
405942.5,  51.711954104,  -0.210243022,  141.5717
405943.0,  51.711954108,  -0.210243149,  141.5764
405943.5,  51.711954143,  -0.210243118,  141.6007
405944.0,  51.711954060,  -0.210243223,  141.6107
405944.5,  51.711954040,  -0.210243366,  141.6203
405945.0,  51.711954020,  -0.210243469,  141.6199
405945.5,  51.711954003,  -0.210243491,  141.6259
405946.0,  51.711954074,  -0.210243526,  141.6108
